KEGG,gene_names
ko02020,PA0033
ko02020,PA0034
NA,PA0032
NA,PA0026
NA,PA0027
NA,PA0028
NA,PA0029
ko02010,PA0030
NA,PA0031
ko00260,PA0035
ko00260,PA0036
NA,PA0037
NA,PA0038
NA,PA0039
ko05133,PA0040
ko05133,PA0041
NA,PA0043
NA,PA0044
NA,PA0045
NA,PA0046
NA,PA0047
NA,PA0048
NA,PA0049
ko00250,PA0051
NA,PA0052
NA,PA0054
NA,PA0055
NA,PA0056
NA,PA0057
NA,PA0058
NA,PA0059
NA,PA0060
NA,PA0061
NA,PA0062
NA,PA0063
NA,PA0064
ko00630,PA0065
NA,PA0066
NA,PA0067
NA,PA0068
NA,PA0069
NA,PA0070
NA,PA0071
NA,PA0072
NA,PA0073
ko02025,PA0074
ko02025,PA0075
ko02025,PA0076
ko02025,PA0077
ko03070,PA0078
ko02025,PA0079
ko03070,PA0080
ko02025,PA0081
ko02025,PA0082
ko02025,PA0083
ko02025,PA0084
ko02025,PA0085
NA,PA0086
NA,PA0087
NA,PA0088
ko02025,PA0089
ko02025,PA0090
ko03070,PA0091
NA,PA0092
NA,PA0093
NA,PA0094
ko03070,PA0095
NA,PA0096
NA,PA0097
ko00061,PA0098
NA,PA0099
NA,PA0100
NA,PA0101
ko00910,PA0102
NA,PA0103
ko00190,PA0105
ko00190,PA0106
ko00190,PA0107
ko00190,PA0108
NA,PA0109
NA,PA0110
NA,PA0111
ko00190,PA0112
ko00190,PA0113
NA,PA0114
NA,PA0115
NA,PA0116
NA,PA0117
ko00626,PA0118
ko02020,PA0119
NA,PA0120
NA,PA0121
NA,PA0122
NA,PA0123
NA,PA0124
NA,PA0125
NA,PA0127
ko01120,PA0128
NA,PA0129
ko00280,PA0130
NA,PA0131
ko00280,PA0132
NA,PA0133
ko00230,PA0134
NA,PA0136
NA,PA0137
NA,PA0138
ko04214,PA0139
NA,PA0140
ko00190,PA0141
ko00270,PA0142
ko00230,PA0143
NA,PA0144
NA,PA0145
NA,PA0146
NA,PA0147
ko00230,PA0148
NA,PA0149
NA,PA0150
NA,PA0151
NA,PA0152
ko00362,PA0153
ko00362,PA0154
NA,PA0155
NA,PA0156
NA,PA0157
ko01501,PA0158
NA,PA0159
NA,PA0162
NA,PA0163
ko00430,PA0164
NA,PA0165
NA,PA0166
NA,PA0167
ko00240,PA0168
ko02025,PA0169
NA,PA0170
NA,PA0171
NA,PA0172
ko02020,PA0173
ko02030,PA0174
ko02020,PA0175
ko02020,PA0176
ko02020,PA0177
ko02020,PA0178
ko02020,PA0179
ko02020,PA0180
NA,PA0181
ko00061,PA0182
ko00140,PA0183
ko00920,PA0184
ko00920,PA0185
ko00920,PA0186
NA,PA0187
NA,PA0188
NA,PA0189
ko00740,PA0190
NA,PA0191
NA,PA0192
NA,PA0193
ko00430,PA0194
ko00760,PA0195
ko00760,PA0195.1
ko00760,PA0196
NA,PA0197
NA,PA0198
NA,PA0199
NA,PA0200
NA,PA0201
ko00330,PA0202
ko02010,PA0203
ko02010,PA0204
ko02010,PA0205
ko02010,PA0206
ko02026,PA0207
NA,PA0208
ko02020,PA0209
NA,PA0210
NA,PA0211
NA,PA0212
NA,PA0213
NA,PA0214
NA,PA0215
NA,PA0216
NA,PA0217
NA,PA0218
ko00330,PA0219
NA,PA0220
ko00330,PA0221
ko02024,PA0222
ko00261,PA0223
ko00051,PA0224
NA,PA0225
ko00643,PA0226
ko00643,PA0227
ko00071,PA0228
NA,PA0229
ko00362,PA0230
ko00362,PA0231
ko00362,PA0232
NA,PA0233
NA,PA0234
NA,PA0235
NA,PA0236
NA,PA0237
NA,PA0238
NA,PA0239
NA,PA0240
ko02020,PA0241
ko00130,PA0242
NA,PA0243
ko00400,PA0244
ko00400,PA0245
NA,PA0246
ko00360,PA0247
NA,PA0248
NA,PA0249
NA,PA0250
NA,PA0251
NA,PA0253
ko00130,PA0254
NA,PA0255
NA,PA0257
NA,PA0258
NA,PA0259
NA,PA0260
ko03070,PA0262
ko02025,PA0263
ko00250,PA0265
ko00250,PA0266
NA,PA0267
ko00300,PA0268
NA,PA0269
NA,PA0270
NA,PA0271
NA,PA0272
NA,PA0273
NA,PA0274
ko02020,PA0275
NA,PA0276
NA,PA0277
NA,PA0278
NA,PA0279
ko00920,PA0280
ko00920,PA0281
ko00920,PA0282
ko00920,PA0283
NA,PA0284
NA,PA0285
ko01040,PA0286
NA,PA0287
ko00330,PA0288
NA,PA0289
NA,PA0290
NA,PA0291
ko00330,PA0292
ko00330,PA0293
NA,PA0294
ko02010,PA0295
ko00220,PA0296
NA,PA0297
ko00220,PA0298
ko00330,PA0299
ko02010,PA0300
ko02010,PA0301
ko02010,PA0302
ko02010,PA0303
ko02010,PA0304
ko00311,PA0305
NA,PA0306
NA,PA0307
ko00564,PA0308
NA,PA0309
NA,PA0310
NA,PA0311
NA,PA0312
ko02010,PA0313
ko02010,PA0314
NA,PA0315
ko00260,PA0316
ko00630,PA0317
NA,PA0318
NA,PA0319
NA,PA0320
NA,PA0321
NA,PA0322
ko02010,PA0323
ko02010,PA0324
ko02010,PA0325
ko02010,PA0326
NA,PA0327
NA,PA0328
NA,PA0329
ko00030,PA0330
ko00260,PA0331
NA,PA0332
NA,PA0333
NA,PA0334
NA,PA0335
ko03018,PA0336
ko02060,PA0337
NA,PA0338
NA,PA0339
NA,PA0340
NA,PA0341
ko00240,PA0342
NA,PA0343
NA,PA0344
NA,PA0345
NA,PA0346
ko00564,PA0347
NA,PA0348
NA,PA0349
ko00670,PA0350
NA,PA0351
NA,PA0352
ko00290,PA0353
NA,PA0354
NA,PA0355
NA,PA0356
ko03410,PA0357
NA,PA0358
NA,PA0359
NA,PA0360
ko00430,PA0361
NA,PA0362
ko00770,PA0363
NA,PA0364
NA,PA0365
NA,PA0366
NA,PA0367
NA,PA0368
NA,PA0370
