Time,OD600,Strain,Replicate
0,0.008,wt,1
0,0.008,wt,2
0,0.008,wt,3
0,0.008,n,1
0,0.008,n,2
0,0.008,n,3
0,0.008,nc,1
0,0.008,nc,2
0,0.008,nc,3
0,0.008,nd,1
0,0.008,nd,2
0,0.008,nd,3
0,0.008,nj,1
0,0.008,nj,2
0,0.008,nj,3
1,0.017,wt,1
1,0.022,wt,2
1,0.019,wt,3
1,0.012,n,1
1,0.016,n,2
1,0.013,n,3
1,0.018,nc,1
1,0.016,nc,2
1,0.014,nc,3
1,0.014,nd,1
1,0.024,nd,2
1,0.011,nd,3
1,0.011,nj,1
1,0.012,nj,2
1,0.011,nj,3
2,0.052,wt,1
2,0.055,wt,2
2,0.054,wt,3
2,0.028,n,1
2,0.033,n,2
2,0.03,n,3
2,0.062,nc,1
2,0.047,nc,2
2,0.05,nc,3
2,0.045,nd,1
2,0.048,nd,2
2,0.047,nd,3
2,0.04,nj,1
2,0.041,nj,2
2,0.043,nj,3
3,0.132,wt,1
3,0.132,wt,2
3,0.127,wt,3
3,0.065,n,1
3,0.07,n,2
3,0.066,n,3
3,0.147,nc,1
3,0.12,nc,2
3,0.107,nc,3
3,0.103,nd,1
3,0.223,nd,2
3,0.133,nd,3
3,0.09,nj,1
3,0.091,nj,2
3,0.102,nj,3
4,0.4,wt,1
4,0.362,wt,2
4,0.329,wt,3
4,0.158,n,1
4,0.178,n,2
4,0.168,n,3
4,0.312,nc,1
4,0.342,nc,2
4,0.307,nc,3
4,0.321,nd,1
4,0.47,nd,2
4,0.332,nd,3
4,0.228,nj,1
4,0.239,nj,2
4,0.274,nj,3
5,0.63,wt,1
5,0.556,wt,2
5,0.498,wt,3
5,0.254,n,1
5,0.364,n,2
5,0.273,n,3
5,0.479,nc,1
5,0.552,nc,2
5,0.527,nc,3
5,0.504,nd,1
5,0.628,nd,2
5,0.589,nd,3
5,0.41,nj,1
5,0.422,nj,2
5,0.472,nj,3
6,0.779,wt,1
6,0.914,wt,2
6,0.82,wt,3
6,0.414,n,1
6,0.522,n,2
6,0.557,n,3
6,0.69,nc,1
6,0.748,nc,2
6,0.698,nc,3
6,0.714,nd,1
6,0.822,nd,2
6,0.821,nd,3
6,0.722,nj,1
6,0.602,nj,2
6,0.765,nj,3
7,0.945,wt,1
7,1.041,wt,2
7,1.014,wt,3
7,0.676,n,1
7,0.768,n,2
7,0.736,n,3
7,0.85,nc,1
7,0.9,nc,2
7,0.872,nc,3
7,0.92,nd,1
7,0.979,nd,2
7,1.07,nd,3
7,1.009,nj,1
7,0.848,nj,2
7,0.95,nj,3
8,1.223,wt,1
8,1.174,wt,2
8,1.316,wt,3
8,0.89,n,1
8,1.02,n,2
8,1.002,n,3
8,1.054,nc,1
8,1.154,nc,2
8,1.147,nc,3
8,1.1,nd,1
8,1.119,nd,2
8,1.248,nd,3
8,1.16,nj,1
8,1.066,nj,2
8,1.129,nj,3
9,1.402,wt,1
9,1.421,wt,2
9,1.45,wt,3
9,1.061,n,1
9,1.231,n,2
9,1.164,n,3
9,1.277,nc,1
9,1.377,nc,2
9,1.291,nc,3
9,1.328,nd,1
9,1.352,nd,2
9,1.544,nd,3
9,1.339,nj,1
9,1.269,nj,2
9,1.411,nj,3
10,1.83,wt,1
10,1.606,wt,2
10,1.842,wt,3
10,1.35,n,1
10,1.436,n,2
10,1.426,n,3
10,1.608,nc,1
10,1.568,nc,2
10,1.482,nc,3
10,1.488,nd,1
10,1.508,nd,2
10,1.81,nd,3
10,1.666,nj,1
10,1.52,nj,2
10,1.744,nj,3
11,1.974,wt,1
11,1.888,wt,2
11,1.954,wt,3
11,1.542,n,1
11,1.72,n,2
11,1.65,n,3
11,1.77,nc,1
11,1.746,nc,2
11,1.704,nc,3
11,1.676,nd,1
11,1.718,nd,2
11,2.014,nd,3
11,1.818,nj,1
11,1.594,nj,2
11,1.91,nj,3
12,2.194,wt,1
12,2.204,wt,2
12,2.21,wt,3
12,1.868,n,1
12,2.212,n,2
12,1.876,n,3
12,2.1,nc,1
12,2.066,nc,2
12,1.99,nc,3
12,1.986,nd,1
12,2.002,nd,2
12,2.272,nd,3
12,2.096,nj,1
12,1.916,nj,2
12,2.182,nj,3
13,2.482,wt,1
13,2.302,wt,2
13,2.372,wt,3
13,1.952,n,1
13,2.13,n,2
13,2.036,n,3
13,2.282,nc,1
13,2.156,nc,2
13,2.144,nc,3
13,2.154,nd,1
13,2.172,nd,2
13,2.422,nd,3
13,2.264,nj,1
13,2.102,nj,2
13,2.35,nj,3
