,locus,annotation_name1,nfxB_P,nfxB_Q,nfxB_Difference,Welch's T-test Test statistic delta_nfxB_wt,change
3310,PA5477,hypothetical protein,0.001668632,0.004040201,-4.964922428,-10.33172631,DOWN
956,PA1646,probable chemotaxis transducer,0.00123347,0.004557576,-4.546210289,-11.88318735,DOWN
628,PA1072,branched-chain amino acid transport protein BraE,0.034800792,0.028184477,-4.281020641,-3.482684208,DOWN
123,PA0186,probable binding protein component of ABC transporter,0.053174813,0.042423573,-3.992732048,-2.776435027,NOT
1249,PA2223,hypothetical protein,0.006258906,0.007434447,-3.53844595,-6.864968842,DOWN
265,PA0452,probable stomatin-like protein,0.000260686,0.0013125,-3.50849247,-13.49874371,DOWN
2733,PA4625,cyclic diguanylate-regulated TPS partner A,0.000725482,0.002569106,-3.34173727,-8.440283556,DOWN
579,PA0998,PqsC,0.078970609,0.06479505,-3.110886097,-2.608483621,NOT
2917,PA4913,probable binding protein component of ABC transporter,2.32E-05,0,-2.968336105,-30.10576677,DOWN
1080,PA1857,conserved hypothetical protein,0.003334899,0.005670175,-2.801481724,-8.300858108,DOWN
578,PA0997,PqsB,0.040204086,0.032965373,-2.726610661,-3.427702898,DOWN
1229,PA2178,hypothetical protein,4.13E-05,0,-2.691182613,-10.66331514,DOWN
2430,PA4225,pyochelin synthetase,0.015081397,0.014148649,-2.535782814,-4.815870068,DOWN
2491,PA4306,Type IVb pilin,0.001152906,0.004201258,-2.340466976,-5.799124356,DOWN
1300,PA2344,fructokinase,0.059394906,0.047325764,-2.247488976,-2.954132115,NOT
603,PA1034,hypothetical protein,0.362923443,0.344731458,-2.232736826,-1.067684172,NOT
24,PA0030,CosX,0.007214626,0.00827619,-2.217103481,-4.450199745,DOWN
289,PA0492,conserved hypothetical protein,0.107003048,0.088124157,-2.155827522,-2.270900748,NOT
970,PA1670,Stp1,0.010787382,0.01075,-2.102656364,-5.419287097,DOWN
3056,PA5103,PuuR,0.031292025,0.026036101,-2.014928818,-3.678519969,DOWN
